category,price,quantity,delivery_status,payment_method,device_type,channel,customer_segment,order_month,order_day_of_week,order_hour,shipping_delay_days
Home,145.25,1,Delivered,Apple Pay,Desktop,Organic,Returning,6,3,14,2.0
Electronics,55.91,1,Delivered,Google Pay,Mobile,Social,Returning,6,3,14,7.0
Electronics,380.22,1,Delivered,Credit Card,Desktop,Organic,VIP,6,3,14,6.0
Books,129.64,2,Shipped,Debit Card,Desktop,Social,Returning,6,3,14,6.0
Clothing,154.24,3,Delivered,PayPal,Tablet,Paid Search,VIP,6,3,14,3.0
Electronics,156.54,1,Delivered,Apple Pay,Mobile,Organic,Returning,6,3,14,3.0
Home,157.34,1,Delivered,Credit Card,Mobile,Social,New,6,3,14,7.0
Toys,469.7,1,Delivered,PayPal,Mobile,Social,VIP,6,3,14,3.0
Books,391.87,1,Delivered,Credit Card,Tablet,Social,VIP,6,3,14,2.0
Home,262.91,1,Delivered,Apple Pay,Mobile,Social,Returning,6,3,14,3.0
Electronics,327.88,2,Shipped,Credit Card,Tablet,Paid Search,VIP,6,3,14,3.0
Beauty,168.6,1,Delivered,Debit Card,Tablet,Email,VIP,6,3,14,5.0
Beauty,400.16,1,Delivered,Google Pay,Desktop,Organic,Returning,6,3,14,6.0
Books,391.97,4,Delivered,Credit Card,Mobile,Email,VIP,6,3,14,7.0
Beauty,376.79,1,Delivered,Credit Card,Desktop,Social,VIP,6,3,14,1.0
Toys,446.93,3,Delivered,Credit Card,Desktop,Organic,New,6,3,14,1.0
Toys,101.25,4,Shipped,Apple Pay,Tablet,Paid Search,VIP,6,3,14,7.0
Beauty,258.38,1,Returned,Apple Pay,Mobile,Paid Search,VIP,6,3,14,6.0
Home,265.33,3,Delivered,Debit Card,Mobile,Organic,VIP,6,3,14,5.0
Electronics,138.84,1,Delivered,Google Pay,Tablet,Organic,VIP,6,3,14,7.0
Beauty,98.09,4,Delivered,Credit Card,Tablet,Paid Search,Returning,6,3,14,7.0
Home,458.1,3,Delivered,PayPal,Mobile,Organic,Returning,6,4,14,5.0
Electronics,372.47,2,Delivered,Google Pay,Desktop,Email,Returning,6,4,14,4.0
Beauty,186.58,1,Delivered,Debit Card,Desktop,Organic,VIP,6,4,14,4.0
Books,398.35,2,Delivered,Credit Card,Desktop,Social,Returning,6,4,14,2.0
Electronics,56.94,2,Delivered,PayPal,Tablet,Email,Returning,6,4,14,2.0
Electronics,285.6,5,Delivered,PayPal,Mobile,Email,New,6,4,14,6.0
Electronics,365.97,2,Shipped,Credit Card,Tablet,Social,VIP,6,4,14,3.0
Home,454.93,4,Delivered,Debit Card,Tablet,Paid Search,Returning,6,4,14,3.0
Electronics,491.5,2,Delivered,Apple Pay,Desktop,Paid Search,Returning,6,4,14,6.0
Toys,356.86,2,Delivered,PayPal,Tablet,Paid Search,VIP,6,4,14,4.0
Beauty,94.98,2,Delivered,Debit Card,Desktop,Organic,Returning,6,4,14,6.0
Electronics,123.32,1,Delivered,Apple Pay,Mobile,Social,Returning,6,4,14,6.0
Beauty,127.97,3,Shipped,Credit Card,Tablet,Organic,VIP,6,4,14,5.0
Toys,158.97,4,Shipped,Credit Card,Tablet,Organic,Returning,6,4,14,1.0
Toys,12.87,2,Delivered,PayPal,Mobile,Email,VIP,6,4,14,1.0
Beauty,199.55,2,Delivered,Apple Pay,Desktop,Email,Returning,6,4,14,6.0
Beauty,375.38,2,Delivered,Debit Card,Tablet,Organic,Returning,6,4,14,3.0
Electronics,121.89,2,Shipped,PayPal,Tablet,Email,VIP,6,4,14,7.0
Electronics,312.08,4,Delivered,Debit Card,Desktop,Organic,VIP,6,4,14,6.0
Books,372.9,1,Delivered,Credit Card,Mobile,Organic,VIP,6,4,14,4.0
Electronics,93.77,2,Delivered,Apple Pay,Tablet,Organic,VIP,6,4,14,4.0
Books,329.07,4,Shipped,Google Pay,Tablet,Social,Returning,6,4,14,7.0
Electronics,208.85,6,Returned,Google Pay,Desktop,Email,VIP,6,4,14,6.0
Beauty,431.34,1,Delivered,Google Pay,Mobile,Organic,VIP,6,4,14,4.0
Toys,465.7,5,Delivered,PayPal,Tablet,Email,VIP,6,4,14,6.0
Toys,143.65,2,Delivered,Credit Card,Desktop,Social,Returning,6,4,14,6.0
Beauty,314.48,3,Delivered,Google Pay,Tablet,Email,Returning,6,4,14,5.0
Toys,364.79,2,Pending,Google Pay,Desktop,Email,VIP,6,4,14,7.0
Beauty,300.51,2,Delivered,Debit Card,Tablet,Social,VIP,6,4,14,6.0
Beauty,19.71,1,Delivered,PayPal,Desktop,Organic,Returning,6,4,14,1.0
Electronics,367.41,1,Delivered,Debit Card,Desktop,Social,Returning,6,5,14,6.0
Clothing,120.8,2,Delivered,Google Pay,Mobile,Email,Returning,6,5,14,3.0
Home,80.87,2,Delivered,Debit Card,Tablet,Paid Search,VIP,6,5,14,3.0
Clothing,305.75,1,Delivered,Credit Card,Desktop,Organic,VIP,6,5,14,4.0
Electronics,303.14,3,Shipped,Google Pay,Desktop,Email,VIP,6,5,14,6.0
Home,472.91,3,Delivered,Debit Card,Desktop,Organic,Returning,6,5,14,6.0
Clothing,235.3,1,Delivered,Credit Card,Tablet,Organic,Returning,6,5,14,7.0
Home,356.99,2,Delivered,Debit Card,Mobile,Organic,Returning,6,5,14,1.0
Electronics,76.86,1,Delivered,Debit Card,Desktop,Organic,VIP,6,5,14,5.0
Clothing,133.08,3,Delivered,Debit Card,Tablet,Social,VIP,6,5,14,7.0
Toys,30.1,3,Delivered,Credit Card,Desktop,Paid Search,VIP,6,5,14,2.0
Electronics,236.92,5,Delivered,Google Pay,Mobile,Email,VIP,6,5,14,1.0
Electronics,114.7,2,Delivered,Credit Card,Mobile,Organic,VIP,6,5,14,2.0
Beauty,351.4,1,Delivered,Debit Card,Desktop,Paid Search,Returning,6,5,14,7.0
Clothing,107.38,4,Delivered,PayPal,Tablet,Paid Search,VIP,6,5,14,3.0
Books,494.69,2,Shipped,Debit Card,Desktop,Email,Returning,6,5,14,6.0
Home,187.41,1,Delivered,Apple Pay,Desktop,Organic,VIP,6,5,14,4.0
Beauty,20.06,4,Delivered,Google Pay,Mobile,Paid Search,VIP,6,5,14,7.0
Toys,410.45,3,Delivered,Debit Card,Mobile,Organic,Returning,6,5,14,3.0
Beauty,38.6,2,Delivered,Credit Card,Desktop,Paid Search,VIP,6,5,14,4.0
Toys,104.34,3,Delivered,Debit Card,Tablet,Paid Search,New,6,5,14,2.0
Toys,371.69,4,Shipped,Google Pay,Desktop,Organic,VIP,6,5,14,3.0
Beauty,349.78,3,Delivered,Google Pay,Mobile,Paid Search,Returning,6,5,14,4.0
Beauty,415.82,4,Delivered,Credit Card,Tablet,Social,VIP,6,5,14,1.0
Beauty,445.74,2,Shipped,Google Pay,Desktop,Email,Returning,6,5,14,4.0
Toys,466.93,1,Shipped,PayPal,Desktop,Organic,Returning,6,5,14,6.0
Clothing,91.6,5,Delivered,Credit Card,Tablet,Email,New,6,5,14,4.0
Beauty,52.94,4,Delivered,Google Pay,Mobile,Paid Search,New,6,5,14,4.0
Beauty,496.83,1,Delivered,Apple Pay,Mobile,Social,VIP,6,5,14,2.0
Books,258.37,2,Shipped,Google Pay,Mobile,Paid Search,VIP,6,5,14,2.0
Electronics,438.36,2,Delivered,Apple Pay,Tablet,Paid Search,Returning,6,5,14,2.0
Toys,392.51,2,Delivered,Debit Card,Mobile,Email,Returning,6,5,14,1.0
Home,271.63,4,Delivered,Debit Card,Tablet,Paid Search,VIP,6,5,14,7.0
Beauty,9.04,1,Delivered,Debit Card,Mobile,Social,VIP,6,5,14,5.0
Beauty,27.32,1,Delivered,Credit Card,Tablet,Email,VIP,6,6,14,5.0
Books,330.23,3,Delivered,Debit Card,Mobile,Paid Search,Returning,6,6,14,1.0
Beauty,170.04,2,Delivered,Apple Pay,Mobile,Email,VIP,6,6,14,6.0
Clothing,80.82,5,Delivered,Debit Card,Tablet,Paid Search,VIP,6,6,14,5.0
Books,124.22,1,Delivered,Google Pay,Tablet,Social,VIP,6,6,14,5.0
Clothing,160.15,1,Delivered,Credit Card,Tablet,Social,VIP,6,6,14,7.0
Books,52.52,1,Delivered,Credit Card,Tablet,Social,VIP,6,6,14,6.0
Electronics,195.74,1,Delivered,Apple Pay,Tablet,Organic,Returning,6,6,14,4.0
Books,112.9,3,Delivered,PayPal,Tablet,Email,VIP,6,6,14,1.0
Home,23.98,1,Shipped,Debit Card,Desktop,Organic,Returning,6,6,14,1.0
Home,445.35,3,Delivered,PayPal,Tablet,Social,VIP,6,6,14,2.0
Books,436.21,3,Delivered,Apple Pay,Desktop,Social,VIP,6,6,14,3.0
Toys,329.38,1,Shipped,Credit Card,Tablet,Paid Search,VIP,6,6,14,7.0
Toys,64.26,2,Delivered,Google Pay,Tablet,Organic,Returning,6,6,14,2.0
Toys,395.45,2,Delivered,Apple Pay,Mobile,Social,VIP,6,6,14,6.0
Books,61.01,4,Delivered,Debit Card,Tablet,Organic,Returning,6,6,14,3.0
Toys,305.82,4,Shipped,Google Pay,Mobile,Email,VIP,6,6,14,7.0
Clothing,431.24,5,Delivered,PayPal,Mobile,Social,Returning,6,6,14,5.0
Toys,250.05,3,Delivered,Google Pay,Tablet,Organic,VIP,6,6,14,2.0
Clothing,459.59,1,Delivered,PayPal,Tablet,Paid Search,Returning,6,6,14,6.0
Home,226.71,1,Delivered,Google Pay,Tablet,Email,VIP,6,6,14,2.0
Books,73.21,1,Delivered,PayPal,Mobile,Organic,VIP,6,6,14,7.0
Toys,6.18,2,Delivered,Debit Card,Mobile,Paid Search,VIP,6,6,14,5.0
Books,443.71,6,Delivered,Debit Card,Desktop,Organic,Returning,6,6,14,1.0
Clothing,494.47,4,Delivered,Google Pay,Desktop,Paid Search,VIP,6,6,14,3.0
Toys,232.61,1,Pending,Debit Card,Desktop,Organic,New,6,6,14,4.0
Clothing,176.39,5,Delivered,Google Pay,Tablet,Social,Returning,6,6,14,1.0
Beauty,158.82,1,Shipped,Apple Pay,Desktop,Paid Search,VIP,6,6,14,1.0
Books,102.83,2,Delivered,Google Pay,Desktop,Social,VIP,6,6,14,6.0
Home,326.19,3,Delivered,Debit Card,Desktop,Social,VIP,6,6,14,1.0
Beauty,192.53,1,Delivered,Debit Card,Desktop,Paid Search,VIP,6,6,14,1.0
Electronics,19.26,2,Delivered,PayPal,Tablet,Email,VIP,7,0,14,7.0
Electronics,63.76,1,Delivered,Credit Card,Mobile,Social,VIP,7,0,14,2.0
Electronics,264.77,3,Delivered,Debit Card,Tablet,Social,VIP,7,0,14,2.0
Toys,230.24,1,Delivered,Debit Card,Tablet,Social,Returning,7,0,14,4.0
Beauty,47.81,3,Delivered,Google Pay,Mobile,Organic,Returning,7,0,14,2.0
Home,463.36,2,Delivered,Apple Pay,Mobile,Email,Returning,7,0,14,7.0
Clothing,195.07,1,Delivered,Apple Pay,Desktop,Paid Search,VIP,7,0,14,4.0
Beauty,441.88,1,Delivered,PayPal,Mobile,Paid Search,VIP,7,0,14,6.0
Home,422.9,4,Shipped,Debit Card,Desktop,Social,VIP,7,0,14,2.0
Electronics,369.93,1,Shipped,PayPal,Desktop,Social,VIP,7,0,14,3.0
Toys,29.16,5,Delivered,PayPal,Desktop,Email,VIP,7,0,14,3.0
Electronics,221.42,1,Delivered,Debit Card,Tablet,Paid Search,VIP,7,0,14,3.0
Books,61.58,2,Shipped,Debit Card,Tablet,Email,Returning,7,0,14,4.0
Home,355.92,3,Delivered,Apple Pay,Desktop,Paid Search,Returning,7,0,14,5.0
Clothing,281.21,1,Delivered,PayPal,Mobile,Email,Returning,7,0,14,5.0
Beauty,154.21,1,Delivered,Debit Card,Tablet,Social,VIP,7,0,14,5.0
Home,358.59,1,Shipped,Google Pay,Mobile,Paid Search,Returning,7,0,14,3.0
Clothing,239.13,1,Delivered,Credit Card,Mobile,Paid Search,Returning,7,0,14,1.0
Books,423.17,1,Returned,Credit Card,Mobile,Email,VIP,7,0,14,2.0
Clothing,357.58,1,Delivered,Debit Card,Tablet,Paid Search,Returning,7,0,14,2.0
Books,55.05,1,Delivered,Credit Card,Mobile,Social,VIP,7,0,14,5.0
Home,349.34,4,Delivered,PayPal,Mobile,Social,VIP,7,0,14,5.0
Books,366.63,1,Delivered,Apple Pay,Tablet,Organic,VIP,7,0,14,1.0
Beauty,273.6,1,Shipped,Credit Card,Desktop,Paid Search,New,7,0,14,7.0
Books,312.2,1,Delivered,PayPal,Desktop,Social,VIP,7,0,14,6.0
Clothing,33.8,4,Returned,Debit Card,Tablet,Paid Search,Returning,7,0,14,6.0
Clothing,401.74,2,Delivered,Apple Pay,Mobile,Social,VIP,7,0,14,5.0
Toys,199.9,2,Delivered,Apple Pay,Tablet,Social,Returning,7,0,14,1.0
Clothing,195.93,1,Delivered,Google Pay,Mobile,Email,VIP,7,0,14,1.0
Clothing,122.56,1,Delivered,Google Pay,Mobile,Organic,VIP,7,1,14,2.0
Beauty,126.95,2,Delivered,Credit Card,Desktop,Paid Search,Returning,7,1,14,7.0
Beauty,258.18,1,Delivered,PayPal,Desktop,Paid Search,Returning,7,1,14,4.0
Clothing,150.72,1,Shipped,PayPal,Mobile,Social,Returning,7,1,14,6.0
Electronics,276.53,1,Delivered,Debit Card,Tablet,Paid Search,Returning,7,1,14,4.0
Toys,332.33,2,Delivered,PayPal,Tablet,Organic,Returning,7,1,14,5.0
Electronics,182.45,2,Delivered,PayPal,Desktop,Social,VIP,7,1,14,6.0
Beauty,168.42,3,Delivered,Debit Card,Desktop,Paid Search,Returning,7,1,14,3.0
Toys,295.46,1,Delivered,Debit Card,Desktop,Paid Search,VIP,7,1,14,1.0
Home,46.12,1,Delivered,Debit Card,Desktop,Social,New,7,1,14,5.0
Electronics,204.34,1,Delivered,Apple Pay,Tablet,Social,VIP,7,1,14,7.0
Books,378.95,1,Delivered,PayPal,Desktop,Email,VIP,7,1,14,4.0
Beauty,374.79,1,Delivered,Google Pay,Desktop,Social,Returning,7,1,14,4.0
Home,176.84,3,Shipped,Credit Card,Tablet,Organic,VIP,7,1,14,6.0
Toys,305.96,4,Shipped,Apple Pay,Desktop,Social,Returning,7,1,14,5.0
Home,72.07,1,Delivered,Credit Card,Tablet,Organic,Returning,7,1,14,6.0
Books,327.74,6,Delivered,Debit Card,Tablet,Paid Search,VIP,7,1,14,3.0
Beauty,375.39,4,Delivered,Credit Card,Desktop,Email,VIP,7,1,14,6.0
Home,422.01,1,Delivered,Credit Card,Mobile,Organic,Returning,7,1,14,6.0
Books,45.2,3,Delivered,PayPal,Desktop,Organic,VIP,7,1,14,7.0
Toys,374.37,1,Delivered,Google Pay,Desktop,Organic,Returning,7,1,14,7.0
Beauty,5.06,2,Delivered,Credit Card,Desktop,Organic,VIP,7,1,14,3.0
Clothing,95.58,1,Delivered,PayPal,Mobile,Paid Search,Returning,7,1,14,7.0
Home,62.62,2,Shipped,Apple Pay,Tablet,Social,VIP,7,1,14,5.0
Books,488.61,3,Delivered,PayPal,Tablet,Social,Returning,7,1,14,7.0
Beauty,305.23,1,Delivered,Apple Pay,Desktop,Organic,Returning,7,2,14,1.0
Clothing,287.81,1,Delivered,Apple Pay,Mobile,Organic,VIP,7,2,14,3.0
Electronics,336.93,1,Delivered,Google Pay,Desktop,Email,Returning,7,2,14,5.0
Home,44.76,2,Delivered,Debit Card,Mobile,Email,New,7,2,14,6.0
Toys,76.88,5,Shipped,Debit Card,Tablet,Organic,VIP,7,2,14,4.0
Home,179.04,3,Delivered,PayPal,Mobile,Paid Search,Returning,7,2,14,1.0
Books,457.65,3,Pending,Apple Pay,Mobile,Email,VIP,7,2,14,1.0
Toys,224.99,3,Delivered,Google Pay,Mobile,Social,VIP,7,2,14,6.0
Beauty,256.8,1,Delivered,Credit Card,Desktop,Email,Returning,7,2,14,1.0
Home,24.77,4,Delivered,Debit Card,Mobile,Organic,VIP,7,2,14,1.0
Electronics,432.99,1,Delivered,Credit Card,Mobile,Social,VIP,7,2,14,1.0
Beauty,207.35,3,Delivered,Google Pay,Desktop,Paid Search,VIP,7,2,14,2.0
Electronics,91.74,1,Delivered,Debit Card,Mobile,Email,VIP,7,2,14,2.0
Clothing,136.4,1,Shipped,Google Pay,Mobile,Social,VIP,7,2,14,5.0
Home,420.88,2,Delivered,Debit Card,Tablet,Organic,Returning,7,2,14,2.0
Clothing,371.52,1,Pending,PayPal,Desktop,Email,Returning,7,2,14,2.0
Toys,439.51,4,Delivered,Apple Pay,Tablet,Social,VIP,7,2,14,1.0
Toys,495.2,2,Delivered,Apple Pay,Tablet,Social,VIP,7,2,14,2.0
Beauty,181.99,5,Delivered,Apple Pay,Desktop,Paid Search,Returning,7,2,14,3.0
Home,398.01,4,Delivered,Debit Card,Desktop,Email,Returning,7,2,14,5.0
Clothing,130.6,4,Delivered,Apple Pay,Tablet,Paid Search,VIP,7,2,14,6.0
Toys,267.43,1,Delivered,Credit Card,Mobile,Paid Search,Returning,7,3,14,5.0
Home,452.91,2,Delivered,Apple Pay,Desktop,Paid Search,VIP,7,3,14,2.0
Beauty,350.72,2,Shipped,PayPal,Mobile,Paid Search,VIP,7,3,14,6.0
Toys,242.23,3,Delivered,Debit Card,Desktop,Paid Search,Returning,7,3,14,1.0
Toys,159.89,2,Delivered,Credit Card,Desktop,Paid Search,VIP,7,3,14,5.0
Clothing,285.99,4,Delivered,Apple Pay,Mobile,Email,VIP,7,3,14,7.0
Electronics,475.65,1,Delivered,Google Pay,Mobile,Email,Returning,7,3,14,7.0
Toys,365.86,2,Delivered,Google Pay,Desktop,Social,Returning,7,3,14,2.0
Electronics,25.83,3,Delivered,Credit Card,Tablet,Organic,New,7,3,14,3.0
Toys,286.66,3,Delivered,Apple Pay,Desktop,Social,Returning,7,3,14,5.0
Beauty,426.39,1,Delivered,Apple Pay,Mobile,Email,Returning,7,3,14,7.0
Home,121.73,2,Delivered,Apple Pay,Desktop,Social,VIP,7,3,14,2.0
Beauty,6.3,1,Shipped,Google Pay,Mobile,Social,VIP,7,3,14,3.0
Beauty,350.19,2,Delivered,Debit Card,Tablet,Social,VIP,7,3,14,6.0
Home,416.91,1,Pending,Credit Card,Desktop,Social,VIP,7,3,14,2.0
Electronics,218.04,2,Delivered,Credit Card,Tablet,Paid Search,New,7,3,14,3.0
Beauty,112.28,1,Returned,Credit Card,Desktop,Social,New,7,3,14,3.0
Home,398.55,3,Shipped,PayPal,Desktop,Organic,VIP,7,3,14,7.0
Toys,171.43,1,Delivered,Google Pay,Tablet,Paid Search,Returning,7,3,14,1.0
Toys,34.14,4,Delivered,PayPal,Tablet,Email,Returning,7,3,14,6.0
Clothing,56.57,4,Delivered,PayPal,Tablet,Email,Returning,7,3,14,5.0
Clothing,206.85,1,Shipped,Apple Pay,Mobile,Social,Returning,7,3,14,6.0
Beauty,228.64,6,Delivered,Credit Card,Desktop,Email,Returning,7,3,14,1.0
Books,104.12,3,Shipped,Google Pay,Desktop,Paid Search,VIP,7,3,14,1.0
Beauty,456.24,2,Delivered,Google Pay,Mobile,Organic,Returning,7,3,14,1.0
Clothing,473.4,1,Delivered,Google Pay,Desktop,Social,VIP,7,3,14,6.0
Toys,273.48,2,Returned,Apple Pay,Mobile,Email,Returning,7,3,14,6.0
Electronics,372.78,1,Delivered,Google Pay,Mobile,Paid Search,VIP,7,3,14,2.0
Books,262.1,2,Shipped,Debit Card,Tablet,Email,VIP,7,3,14,4.0
Beauty,447.22,2,Shipped,PayPal,Tablet,Organic,VIP,7,3,14,3.0
Books,59.23,2,Delivered,PayPal,Desktop,Organic,Returning,7,3,14,5.0
Home,150.16,4,Delivered,PayPal,Tablet,Email,VIP,7,3,14,5.0
Beauty,212.53,3,Delivered,PayPal,Mobile,Organic,Returning,7,3,14,7.0
Books,125.86,2,Shipped,Credit Card,Tablet,Organic,Returning,7,4,14,7.0
Toys,76.26,1,Delivered,Apple Pay,Desktop,Email,VIP,7,4,14,3.0
Clothing,300.65,3,Delivered,Google Pay,Mobile,Social,Returning,7,4,14,5.0
Home,80.4,1,Delivered,Apple Pay,Mobile,Social,Returning,7,4,14,5.0
Home,82.33,6,Delivered,Google Pay,Mobile,Email,Returning,7,4,14,2.0
Beauty,6.61,1,Delivered,Credit Card,Tablet,Email,Returning,7,4,14,7.0
Electronics,362.04,1,Shipped,Credit Card,Desktop,Email,VIP,7,4,14,3.0
Electronics,430.68,2,Shipped,Credit Card,Desktop,Paid Search,Returning,7,4,14,4.0
Toys,295.6,1,Delivered,Debit Card,Tablet,Social,Returning,7,4,14,5.0
Books,344.62,2,Pending,Credit Card,Tablet,Organic,Returning,7,4,14,3.0
Toys,29.4,3,Delivered,PayPal,Desktop,Social,Returning,7,4,14,1.0
Beauty,298.59,1,Delivered,PayPal,Tablet,Social,Returning,7,4,14,2.0
Electronics,111.86,3,Delivered,PayPal,Desktop,Paid Search,Returning,7,4,14,6.0
Beauty,197.29,4,Delivered,Apple Pay,Mobile,Paid Search,Returning,7,4,14,4.0
Beauty,52.81,1,Delivered,Apple Pay,Desktop,Organic,VIP,7,4,14,7.0
Beauty,243.31,1,Delivered,Credit Card,Tablet,Social,VIP,7,4,14,6.0
Beauty,403.85,1,Returned,Google Pay,Tablet,Social,Returning,7,4,14,5.0
Books,334.61,2,Shipped,Apple Pay,Mobile,Organic,VIP,7,4,14,1.0
Books,135.62,2,Delivered,PayPal,Tablet,Paid Search,VIP,7,4,14,4.0
Clothing,315.36,1,Delivered,Google Pay,Tablet,Social,VIP,7,4,14,6.0
Beauty,136.76,2,Delivered,Credit Card,Desktop,Organic,Returning,7,4,14,3.0
Toys,52.64,1,Pending,Debit Card,Tablet,Social,Returning,7,4,14,3.0
Beauty,179.89,4,Delivered,Apple Pay,Desktop,Paid Search,Returning,7,4,14,1.0
Toys,229.08,3,Returned,Debit Card,Mobile,Paid Search,VIP,7,4,14,7.0
Toys,319.57,2,Pending,Debit Card,Tablet,Email,New,7,4,14,1.0
Home,15.96,2,Delivered,Debit Card,Mobile,Social,VIP,7,4,14,4.0
Clothing,114.26,3,Delivered,Apple Pay,Tablet,Email,VIP,7,4,14,7.0
Home,187.79,1,Delivered,Debit Card,Mobile,Email,Returning,7,4,14,6.0
Toys,25.26,2,Shipped,Apple Pay,Tablet,Organic,VIP,7,4,14,4.0
Beauty,139.84,3,Shipped,Credit Card,Tablet,Organic,Returning,7,4,14,6.0
Toys,375.44,2,Returned,Google Pay,Tablet,Social,VIP,7,4,14,5.0
Toys,186.73,2,Pending,Google Pay,Desktop,Social,VIP,7,4,14,3.0
Clothing,426.26,1,Delivered,Credit Card,Mobile,Paid Search,VIP,7,5,14,7.0
Beauty,431.99,2,Delivered,Credit Card,Mobile,Social,VIP,7,5,14,4.0
Clothing,398.42,1,Delivered,Apple Pay,Tablet,Social,VIP,7,5,14,7.0
Home,220.51,5,Delivered,Google Pay,Tablet,Organic,VIP,7,5,14,7.0
Books,279.94,1,Delivered,Debit Card,Tablet,Organic,Returning,7,5,14,3.0
Electronics,323.95,3,Delivered,Debit Card,Tablet,Paid Search,Returning,7,5,14,1.0
Beauty,394.24,1,Delivered,Google Pay,Tablet,Social,Returning,7,5,14,2.0
Clothing,468.09,1,Delivered,Credit Card,Tablet,Paid Search,Returning,7,5,14,2.0
Toys,414.67,3,Delivered,Debit Card,Mobile,Email,VIP,7,5,14,2.0
Beauty,52.61,2,Delivered,Debit Card,Desktop,Social,Returning,7,5,14,7.0
Home,285.76,2,Shipped,Google Pay,Mobile,Social,VIP,7,5,14,3.0
Home,51.84,2,Shipped,Credit Card,Mobile,Social,New,7,5,14,2.0
Home,164.1,1,Delivered,Apple Pay,Desktop,Email,VIP,7,5,14,7.0
Clothing,316.01,1,Delivered,Apple Pay,Desktop,Social,Returning,7,5,14,6.0
Clothing,330.2,2,Shipped,Credit Card,Desktop,Social,Returning,7,5,14,6.0
Beauty,402.58,3,Delivered,PayPal,Mobile,Email,VIP,7,5,14,4.0
Toys,459.3,3,Delivered,Apple Pay,Tablet,Paid Search,VIP,7,5,14,2.0
Electronics,260.58,1,Shipped,Apple Pay,Mobile,Email,VIP,7,5,14,5.0
Toys,181.68,3,Shipped,PayPal,Desktop,Organic,VIP,7,5,14,1.0
Electronics,279.26,3,Delivered,Google Pay,Mobile,Email,Returning,7,5,14,6.0
Electronics,475.6,1,Delivered,PayPal,Mobile,Social,Returning,7,5,14,3.0
Toys,253.07,1,Pending,Credit Card,Mobile,Social,VIP,7,5,14,4.0
Toys,344.79,3,Pending,Apple Pay,Desktop,Paid Search,Returning,7,5,14,7.0
Home,117.14,2,Delivered,PayPal,Mobile,Organic,Returning,7,5,14,2.0
Home,6.84,1,Shipped,Debit Card,Tablet,Email,Returning,7,5,14,1.0
Toys,71.43,1,Shipped,Debit Card,Tablet,Social,VIP,7,6,14,6.0
Clothing,467.03,2,Shipped,Apple Pay,Mobile,Email,VIP,7,6,14,4.0
Toys,110.83,3,Shipped,Apple Pay,Mobile,Organic,VIP,7,6,14,7.0
Electronics,140.67,4,Delivered,PayPal,Tablet,Email,Returning,7,6,14,4.0
Toys,315.76,2,Returned,Debit Card,Tablet,Email,VIP,7,6,14,4.0
Beauty,443.18,2,Shipped,Debit Card,Mobile,Email,Returning,7,6,14,4.0
Electronics,336.58,2,Delivered,Credit Card,Desktop,Social,Returning,7,6,14,2.0
Home,405.04,1,Delivered,Google Pay,Desktop,Email,VIP,7,6,14,5.0
Toys,471.33,5,Pending,PayPal,Mobile,Paid Search,VIP,7,6,14,3.0
Home,14.96,2,Delivered,PayPal,Tablet,Organic,VIP,7,6,14,2.0
Electronics,99.61,4,Delivered,Credit Card,Desktop,Paid Search,VIP,7,6,14,4.0
Beauty,139.69,1,Shipped,Apple Pay,Desktop,Organic,VIP,7,6,14,3.0
Beauty,32.21,2,Shipped,Credit Card,Tablet,Organic,Returning,7,6,14,4.0
Electronics,302.8,2,Delivered,Debit Card,Desktop,Paid Search,VIP,7,6,14,7.0
Home,228.43,1,Shipped,PayPal,Mobile,Social,Returning,7,6,14,3.0
Clothing,288.95,1,Delivered,Apple Pay,Tablet,Social,Returning,7,6,14,2.0
Electronics,234.75,3,Delivered,Credit Card,Desktop,Paid Search,Returning,7,6,14,6.0
Beauty,171.16,6,Delivered,Credit Card,Desktop,Social,Returning,7,6,14,4.0
Clothing,62.25,3,Shipped,Credit Card,Desktop,Organic,VIP,7,6,14,5.0
Home,440.86,6,Shipped,Apple Pay,Mobile,Organic,VIP,7,6,14,3.0
Toys,489.32,2,Shipped,Credit Card,Mobile,Social,VIP,7,6,14,5.0
Clothing,267.99,1,Delivered,PayPal,Desktop,Paid Search,Returning,7,6,14,6.0
Clothing,219.89,2,Delivered,Credit Card,Tablet,Social,Returning,7,6,14,6.0
Beauty,144.43,4,Shipped,Credit Card,Tablet,Organic,Returning,7,6,14,1.0
Toys,185.91,2,Delivered,Debit Card,Mobile,Social,Returning,7,6,14,3.0
Electronics,305.8,1,Delivered,Apple Pay,Tablet,Email,VIP,7,6,14,4.0
Beauty,433.82,2,Delivered,Apple Pay,Mobile,Paid Search,Returning,7,0,14,1.0
Home,237.41,5,Shipped,Credit Card,Tablet,Paid Search,VIP,7,0,14,2.0
Clothing,164.02,4,Shipped,Credit Card,Desktop,Social,VIP,7,0,14,5.0
Beauty,107.5,4,Returned,Debit Card,Tablet,Social,Returning,7,0,14,3.0
Toys,393.92,1,Delivered,Debit Card,Tablet,Email,Returning,7,0,14,4.0
Toys,382.46,1,Delivered,Google Pay,Mobile,Paid Search,Returning,7,0,14,1.0
Toys,85.79,3,Delivered,Debit Card,Tablet,Social,Returning,7,0,14,2.0
Home,340.33,1,Delivered,Google Pay,Desktop,Email,VIP,7,0,14,2.0
Home,230.45,2,Delivered,PayPal,Tablet,Social,New,7,0,14,4.0
